Date,Id,Nominal,Value,VunitRate
27.11.2020,R01035,1,"100,8489","100,8489"
28.11.2020,R01035,1,"101,3792","101,3792"
01.12.2020,R01035,1,"101,6507","101,6507"
02.12.2020,R01035,1,"102,2158","102,2158"
03.12.2020,R01035,1,"101,0747","101,0747"
04.12.2020,R01035,1,"100,7900","100,79"
05.12.2020,R01035,1,"99,9890","99,989"
08.12.2020,R01035,1,"98,5380","98,538"
09.12.2020,R01035,1,"98,2943","98,2943"
10.12.2020,R01035,1,"98,3689","98,3689"
11.12.2020,R01035,1,"98,1775","98,1775"
12.12.2020,R01035,1,"96,7371","96,7371"
15.12.2020,R01035,1,"97,6495","97,6495"
16.12.2020,R01035,1,"97,8585","97,8585"
17.12.2020,R01035,1,"99,1465","99,1465"
18.12.2020,R01035,1,"99,0751","99,0751"
19.12.2020,R01035,1,"99,2692","99,2692"
22.12.2020,R01035,1,"99,0973","99,0973"
23.12.2020,R01035,1,"101,2023","101,2023"
24.12.2020,R01035,1,"101,1955","101,1955"
25.12.2020,R01035,1,"101,6017","101,6017"
26.12.2020,R01035,1,"99,9265","99,9265"
29.12.2020,R01035,1,"100,0199","100,0199"
30.12.2020,R01035,1,"99,5470","99,547"
31.12.2020,R01035,1,"100,0425","100,0425"
01.01.2021,R01035,1,"100,8477","100,8477"
12.01.2021,R01035,1,"100,6260","100,626"
13.01.2021,R01035,1,"100,6011","100,6011"
14.01.2021,R01035,1,"100,5988","100,5988"
15.01.2021,R01035,1,"100,8276","100,8276"
16.01.2021,R01035,1,"100,3599","100,3599"
19.01.2021,R01035,1,"100,1453","100,1453"
20.01.2021,R01035,1,"100,2282","100,2282"
21.01.2021,R01035,1,"100,2836","100,2836"
22.01.2021,R01035,1,"100,5674","100,5674"
23.01.2021,R01035,1,"101,6150","101,615"
26.01.2021,R01035,1,"102,6064","102,6064"
27.01.2021,R01035,1,"103,0381","103,0381"
28.01.2021,R01035,1,"103,0674","103,0674"
29.01.2021,R01035,1,"103,9550","103,955"
30.01.2021,R01035,1,"104,2832","104,2832"
02.02.2021,R01035,1,"103,6688","103,6688"
03.02.2021,R01035,1,"103,9444","103,9444"
04.02.2021,R01035,1,"104,0243","104,0243"
05.02.2021,R01035,1,"102,8858","102,8858"
06.02.2021,R01035,1,"102,8941","102,8941"
09.02.2021,R01035,1,"101,8330","101,833"
10.02.2021,R01035,1,"102,0547","102,0547"
11.02.2021,R01035,1,"102,1529","102,1529"
12.02.2021,R01035,1,"101,9482","101,9482"
13.02.2021,R01035,1,"101,9824","101,9824"
16.02.2021,R01035,1,"101,9218","101,9218"
17.02.2021,R01035,1,"102,0703","102,0703"
18.02.2021,R01035,1,"102,4401","102,4401"
19.02.2021,R01035,1,"102,4742","102,4742"
20.02.2021,R01035,1,"103,4050","103,405"
21.02.2021,R01035,1,"103,7024","103,7024"
25.02.2021,R01035,1,"104,5747","104,5747"
26.02.2021,R01035,1,"103,8785","103,8785"
27.02.2021,R01035,1,"103,8251","103,8251"
02.03.2021,R01035,1,"103,2851","103,2851"
03.03.2021,R01035,1,"103,5481","103,5481"
04.03.2021,R01035,1,"102,6762","102,6762"
05.03.2021,R01035,1,"102,9099","102,9099"
06.03.2021,R01035,1,"103,1342","103,1342"
10.03.2021,R01035,1,"103,0562","103,0562"
11.03.2021,R01035,1,"102,8258","102,8258"
12.03.2021,R01035,1,"102,5099","102,5099"
13.03.2021,R01035,1,"102,4997","102,4997"
16.03.2021,R01035,1,"102,0337","102,0337"
17.03.2021,R01035,1,"100,9574","100,9574"
18.03.2021,R01035,1,"101,6994","101,6994"
19.03.2021,R01035,1,"102,8858","102,8858"
20.03.2021,R01035,1,"103,3424","103,3424"
23.03.2021,R01035,1,"103,4148","103,4148"
24.03.2021,R01035,1,"104,0701","104,0701"
25.03.2021,R01035,1,"104,2694","104,2694"
26.03.2021,R01035,1,"104,3128","104,3128"
27.03.2021,R01035,1,"104,3637","104,3637"
30.03.2021,R01035,1,"104,8332","104,8332"
31.03.2021,R01035,1,"104,1588","104,1588"
01.04.2021,R01035,1,"104,1299","104,1299"
02.04.2021,R01035,1,"104,5383","104,5383"
03.04.2021,R01035,1,"105,2856","105,2856"
06.04.2021,R01035,1,"106,1978","106,1978"
07.04.2021,R01035,1,"105,8095","105,8095"
08.04.2021,R01035,1,"107,4045","107,4045"
09.04.2021,R01035,1,"105,9369","105,9369"
10.04.2021,R01035,1,"105,7633","105,7633"
13.04.2021,R01035,1,"106,4915","106,4915"
14.04.2021,R01035,1,"106,2236","106,2236"
15.04.2021,R01035,1,"104,4193","104,4193"
16.04.2021,R01035,1,"106,1026","106,1026"
17.04.2021,R01035,1,"103,8861","103,8861"
20.04.2021,R01035,1,"105,8109","105,8109"
21.04.2021,R01035,1,"106,4217","106,4217"
22.04.2021,R01035,1,"107,0945","107,0945"
23.04.2021,R01035,1,"106,3332","106,3332"
24.04.2021,R01035,1,"104,1939","104,1939"
27.04.2021,R01035,1,"104,1219","104,1219"
28.04.2021,R01035,1,"104,0189","104,0189"
29.04.2021,R01035,1,"104,0378","104,0378"
30.04.2021,R01035,1,"103,7782","103,7782"
01.05.2021,R01035,1,"104,1694","104,1694"
05.05.2021,R01035,1,"104,4638","104,4638"
06.05.2021,R01035,1,"103,9979","103,9979"
07.05.2021,R01035,1,"103,6695","103,6695"
08.05.2021,R01035,1,"103,2288","103,2288"
12.05.2021,R01035,1,"104,6277","104,6277"
13.05.2021,R01035,1,"104,6703","104,6703"
14.05.2021,R01035,1,"104,4487","104,4487"
15.05.2021,R01035,1,"104,0543","104,0543"
18.05.2021,R01035,1,"104,0672","104,0672"
19.05.2021,R01035,1,"104,6160","104,616"
20.05.2021,R01035,1,"104,4678","104,4678"
